key,Order,Level,Section,Subsection,Criteria,Role model Rating,Weights,Description
Staff DeveloperENGINEERING CRAFTSoftware ArchitectureCode,19,Staff Developer,ENGINEERING CRAFT,Software Architecture,Code,3.4,0%,N/A
Staff DeveloperENGINEERING CRAFTSoftware ArchitectureDesign,20,Staff Developer,ENGINEERING CRAFT,Software Architecture,Design,2.5,40%,"You lead architectural decisions for complex, multi-team initiatives, designing systems that support both current needs and future growth within your domain."
Staff DeveloperENGINEERING CRAFTSoftware ArchitectureDevelopment,21,Staff Developer,ENGINEERING CRAFT,Software Architecture,Development,3.0,40%,"You work with architecture teams to implement domain-specific architectural patterns, often leading proof-of-concept work for significant technical initiatives."
Staff DeveloperENGINEERING CRAFTSoftware ArchitectureTechnical debt,22,Staff Developer,ENGINEERING CRAFT,Software Architecture,Technical debt,2.9,20%,"You manage technical debt strategically across multiple teams, making informed decisions about when to incur debt and when to prioritize paying it down."
Staff DeveloperENGINEERING CRAFTSecurity,23,Staff Developer,ENGINEERING CRAFT,Security,,3.2,10%,"The ability to implement and promote security best practices across multiple teams.
Serves as a security champion who ensures secure development practices within their domain."
Staff DeveloperENGINEERING CRAFTSecurityKnowledge,24,Staff Developer,ENGINEERING CRAFT,Security,Knowledge,3.6,30%,"You have strong understanding of security principles and regularly share this knowledge across multiple teams, establishing security practices within your domain."
Staff DeveloperENGINEERING CRAFTSecurityUser data,25,Staff Developer,ENGINEERING CRAFT,Security,User data,3.7,30%,"You ensure proper handling of user data across multiple teams' systems, establishing patterns and practices for data protection."
Staff DeveloperENGINEERING CRAFTSecurityReporting,26,Staff Developer,ENGINEERING CRAFT,Security,Reporting,3.2,0%,N/A
Staff DeveloperENGINEERING CRAFTSecurityProactivity,27,Staff Developer,ENGINEERING CRAFT,Security,Proactivity,2.9,0%,N/A
Staff DeveloperENGINEERING CRAFTSecurityCollaboration,28,Staff Developer,ENGINEERING CRAFT,Security,Collaboration,3.0,0%,N/A
Staff DeveloperENGINEERING CRAFTSecurityStrategy,29,Staff Developer,ENGINEERING CRAFT,Security,Strategy,2.5,40%,"You collaborate with security teams to implement security strategies within your domain, ensuring alignment with organizational security goals."
Staff DeveloperENGINEERING CRAFTDebugging & Monitoring,30,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,,3.0,15%,"The ability to implement systematic debugging and monitoring practices across multiple teams.
Creates observability strategies that provide insights across complex, multi-team systems."
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringDebugging,31,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Debugging,3.4,30%,"You can diagnose and resolve complex issues that span multiple teams' systems, often serving as the escalation point for difficult technical problems."
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringTools,32,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Tools,3.2,0%,N/A
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringPhilosophy,33,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Philosophy,2.9,20%,"You establish monitoring and observability practices across multiple teams, promoting a culture of proactive issue detection and resolution."
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringData,34,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Data,3.0,20%,"You design monitoring strategies that provide insights across multiple teams' systems, enabling data-driven decisions about system health and performance."
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringProfiling,35,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Profiling,2.9,20%,"You're skilled at performance optimization across multiple technology stacks, capable of solving complex performance challenges that affect multiple teams."
Staff DeveloperENGINEERING CRAFTDebugging & MonitoringMentoring,36,Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Mentoring,2.0,10%,"You develop debugging and monitoring skills across multiple teams, mentoring engineers on systematic approaches to problem-solving."
Staff DeveloperSOFT SKILLS,37,Staff Developer,SOFT SKILLS,,,2.8,40%,
Staff DeveloperSOFT SKILLSEmpathy & Humility,38,Staff Developer,SOFT SKILLS,Empathy & Humility,,3.0,40%,"Demonstrates strong emotional intelligence and serves as a role model for collaborative leadership across multiple teams.
Works to improve team dynamics and represents diverse perspectives in technical and strategic discussions."
Staff DeveloperSOFT SKILLSEmpathy & HumilityCredit and blame,39,Staff Developer,SOFT SKILLS,Empathy & Humility,Credit and blame,3.2,30%,"You consistently redirect credit to team members and absorb unproductive blame, protecting multiple teams and fostering a positive culture."
Staff DeveloperSOFT SKILLSEmpathy & HumilityUnderstanding others,40,Staff Developer,SOFT SKILLS,Empathy & Humility,Understanding others,3.2,30%,"You're often asked to help bridge understanding between different teams and stakeholders, improving collaboration and reducing conflict."
Staff DeveloperSOFT SKILLSEmpathy & HumilityMediation and facilitation,41,Staff Developer,SOFT SKILLS,Empathy & Humility,Mediation and facilitation,2.9,20%,"You facilitate complex technical discussions involving multiple teams, helping find solutions and build consensus around technical decisions."
Staff DeveloperSOFT SKILLSEmpathy & HumilityMentoring,42,Staff Developer,SOFT SKILLS,Empathy & Humility,Mentoring,2.5,20%,"You maintain mentoring relationships with engineers across multiple teams, contributing to their professional development and career growth."
Staff DeveloperSOFT SKILLSCommunication,43,Staff Developer,SOFT SKILLS,Communication,,2.4,20%,"Strong communication skills that influence technical direction and team collaboration across multiple teams.
Serves as a bridge between technical teams and stakeholders."
Staff DeveloperSOFT SKILLSCommunicationKeeping people informed,44,Staff Developer,SOFT SKILLS,Communication,Keeping people informed,2.4,50%,"You communicate complex technical initiatives across multiple teams and to various stakeholders, ensuring clear understanding and alignment."
Staff DeveloperSOFT SKILLSCommunicationLooking for feedback,45,Staff Developer,SOFT SKILLS,Communication,Looking for feedback,3.2,20%,You actively seek feedback from stakeholders across multiple teams and incorporate this input into technical planning and execution.
Staff DeveloperSOFT SKILLSCommunicationDelivering bad news,46,Staff Developer,SOFT SKILLS,Communication,Delivering bad news,2.0,20%,"You handle difficult communications across multiple teams, managing expectations and maintaining relationships during challenging technical situations."
Staff DeveloperSOFT SKILLSCommunicationMentoring communicators,47,Staff Developer,SOFT SKILLS,Communication,Mentoring communicators,1.5,10%,"You help improve communication practices across multiple teams, coaching engineers on effective technical communication."
Staff DeveloperSOFT SKILLSInitiative,48,Staff Developer,SOFT SKILLS,Initiative,,2.8,20%,"Demonstrates strong drive and creates opportunities that benefit multiple teams.
Consistently identifies and leads initiatives that drive significant technical and business value."
Staff DeveloperSOFT SKILLSInitiativeCan-do attitude,49,Staff Developer,SOFT SKILLS,Initiative,Can-do attitude,3.2,50%,"You consistently identify opportunities to improve technical practices and business outcomes across multiple teams, leading initiatives that create lasting value."
Staff DeveloperSOFT SKILLSInitiativePro-activity in seeking help,50,Staff Developer,SOFT SKILLS,Initiative,Pro-activity in seeking help,2.6,25%,"You build relationships and seek expertise both within and outside your immediate domain, bringing valuable knowledge and capabilities to multiple teams."
Staff DeveloperSOFT SKILLSInitiativeFollow through,51,Staff Developer,SOFT SKILLS,Initiative,Follow through,2.2,25%,"You lead complex technical initiatives involving multiple teams to successful completion, adapting your approach as needed to ensure success."
Staff DeveloperSOFT SKILLSObjectivity & Adaptability,52,Staff Developer,SOFT SKILLS,Objectivity & Adaptability,,3.3,10%,"Demonstrates sound judgment and adaptability in complex technical contexts.
Makes balanced decisions that consider multiple perspectives and drives improvement across teams."
Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityEfficient decision-making,53,Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Efficient decision-making,3.2,50%,"You lead decision-making processes for complex technical initiatives involving multiple teams, establishing clear criteria and processes for effective decisions."
Staff DeveloperSOFT SKILLSObjectivity & AdaptabilitySelf improvement,54,Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Self improvement,3.8,20%,You actively work to improve your own skills and help establish learning and development practices across multiple teams.
Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityObjectivity,55,Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Objectivity,3.2,20%,"You provide balanced perspective on technical and business trade-offs, helping teams focus on the most impactful work while maintaining high standards."
Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityTime management,56,Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Time management,2.9,10%,"You optimize processes and resource allocation across multiple teams, identifying opportunities to improve efficiency and focus on high-impact work."
Staff DeveloperSOFT SKILLSBusiness Acumen,57,Staff Developer,SOFT SKILLS,Business Acumen,,2.4,10%,"Good understanding of business context and the ability to connect technical decisions with business outcomes.
Influences technical direction to support business objectives across multiple teams."
Staff DeveloperSOFT SKILLSBusiness AcumenUnderstanding level,58,Staff Developer,SOFT SKILLS,Business Acumen,Understanding level,2.4,100%,"You have solid understanding of your domain's business context and how technical decisions impact business outcomes, with growing knowledge of adjacent business areas."
Staff DeveloperLEADERSHIP,59,Staff Developer,LEADERSHIP,,,1.6,20%,
Staff DeveloperLEADERSHIPHiring and Org Design,60,Staff Developer,LEADERSHIP,Hiring and Org Design,,1.0,40%,"Contributes to talent acquisition and team structure decisions across multiple teams.
Helps shape hiring practices and organizational design within their domain."
Staff DeveloperLEADERSHIPHiring and Org DesignDeploying Teams,61,Staff Developer,LEADERSHIP,Hiring and Org Design,Deploying Teams,0.8,50%,You help design team structures and roles that optimize for technical and business outcomes across multiple related teams.
Staff DeveloperLEADERSHIPHiring and Org DesignEmployer Brand,62,Staff Developer,LEADERSHIP,Hiring and Org Design,Employer Brand,1.5,30%,"You contribute to the organization's technical reputation through conference talks, blog posts, and participation in technical communities."
Staff DeveloperLEADERSHIPHiring and Org DesignHiring,63,Staff Developer,LEADERSHIP,Hiring and Org Design,Hiring,0.5,20%,"You're actively involved in hiring for multiple teams, serving as a hiring manager for mid-level to senior positions and helping establish hiring standards."
Staff DeveloperLEADERSHIPStakeholder Management,64,Staff Developer,LEADERSHIP,Stakeholder Management,,2.7,20%,"Manages relationships with key stakeholders across multiple teams and business units.
Builds trust and delivers results while protecting team interests."
Staff DeveloperLEADERSHIPStakeholder ManagementManaging Goals and Expectations,65,Staff Developer,LEADERSHIP,Stakeholder Management,Managing Goals and Expectations,2.5,50%,"You successfully manage stakeholder relationships across multiple teams and projects, consistently delivering results while maintaining good relationships."
Staff DeveloperLEADERSHIPStakeholder ManagementForesight,66,Staff Developer,LEADERSHIP,Stakeholder Management,Foresight,2.8,20%,"Your technical and business insight helps multiple teams anticipate challenges and opportunities, contributing to better planning and execution."
Staff DeveloperLEADERSHIPStakeholder ManagementEngendering Trust,67,Staff Developer,LEADERSHIP,Stakeholder Management,Engendering Trust,3.2,20%,"You're trusted by stakeholders across multiple teams and business units, often serving as the primary technical contact for complex initiatives."
Staff DeveloperLEADERSHIPStakeholder ManagementProtecting the Team,68,Staff Developer,LEADERSHIP,Stakeholder Management,Protecting the Team,2.9,10%,"You shield multiple teams from unnecessary distractions and pressures, identifying and resolving issues that could impact team effectiveness."
Staff DeveloperLEADERSHIPTeam Leadership,69,Staff Developer,LEADERSHIP,Team Leadership,,2.0,10%,"Leads and influences multiple teams through technical expertise and collaborative leadership.
Demonstrates leadership skills that inspire others and improve team effectiveness."
Staff DeveloperLEADERSHIPTeam LeadershipPutting the Team first,70,Staff Developer,LEADERSHIP,Team Leadership,Putting the Team first,2.5,50%,"You consistently prioritize the needs of multiple teams, taking on challenging work and administrative tasks to enable team success."
Staff DeveloperLEADERSHIPTeam LeadershipDifficult Conversations,71,Staff Developer,LEADERSHIP,Team Leadership,Difficult Conversations,0.8,20%,"You handle challenging conversations about technical direction, performance, and resource allocation across multiple teams with professionalism and care."
Staff DeveloperLEADERSHIPTeam LeadershipReliability,72,Staff Developer,LEADERSHIP,Team Leadership,Reliability,1.9,20%,"You're known for consistently delivering on commitments that affect multiple teams, building trust through reliable execution."
Staff DeveloperLEADERSHIPTeam LeadershipVulnerability,73,Staff Developer,LEADERSHIP,Team Leadership,Vulnerability,2.1,10%,"You openly share your learning experiences and mistakes, creating an environment where others feel safe to take risks and learn."
Staff DeveloperLEADERSHIPDeveloping Others,74,Staff Developer,LEADERSHIP,Developing Others,,1.5,20%,"Actively develops talent across multiple teams through mentoring, coaching, and creating growth opportunities.
Contributes to building technical capabilities across the organization."
Staff DeveloperLEADERSHIPDeveloping OthersIdentifying strengths,75,Staff Developer,LEADERSHIP,Developing Others,Identifying strengths,1.2,30%,"You recognize and develop talent across multiple teams, helping individuals identify growth opportunities and advance their careers."
Staff DeveloperLEADERSHIPDeveloping OthersSupporting team growth,76,Staff Developer,LEADERSHIP,Developing Others,Supporting team growth,1.6,40%,"You create learning opportunities and development programs that benefit multiple teams, contributing to overall technical capability growth."
Staff DeveloperLEADERSHIPDeveloping OthersInvesting in process,77,Staff Developer,LEADERSHIP,Developing Others,Investing in process,1.7,10%,You establish processes and practices that improve team effectiveness and individual development across multiple teams.
Staff DeveloperLEADERSHIPDeveloping OthersFeedback on work,78,Staff Developer,LEADERSHIP,Developing Others,Feedback on work,1.5,20%,"You provide regular, constructive feedback to engineers across multiple teams, helping them improve their technical and professional skills."
Staff DeveloperLEADERSHIPCulture & Togetherness,79,Staff Developer,LEADERSHIP,Culture & Togetherness,,1.8,10%,"Contributes to positive team culture across multiple teams through inclusive leadership and collaborative practices.
Helps build connections and alignment across team boundaries."
Staff DeveloperLEADERSHIPCulture & TogethernessSetting an Example,80,Staff Developer,LEADERSHIP,Culture & Togetherness,Setting an Example,2.4,30%,"You consistently model positive behaviors and high standards, influencing culture and performance across multiple teams."
Staff DeveloperLEADERSHIPCulture & TogethernessEncouraging diverse opinions,81,Staff Developer,LEADERSHIP,Culture & Togetherness,Encouraging diverse opinions,1.4,40%,"You actively seek out and value diverse perspectives in technical discussions, ensuring that multiple teams benefit from varied viewpoints."
Staff DeveloperLEADERSHIPCulture & TogethernessDeveloping personal relationships,82,Staff Developer,LEADERSHIP,Culture & Togetherness,Developing personal relationships,1.6,30%,"You build strong working relationships across multiple teams that enhance collaboration, knowledge sharing, and overall effectiveness."
Senior Staff DeveloperENGINEERING CRAFT,0,Senior Staff Developer,ENGINEERING CRAFT,,,3.6,40%,
Senior Staff DeveloperENGINEERING CRAFTWriting Code,1,Senior Staff Developer,ENGINEERING CRAFT,Writing Code,,3.6,30%,"The ability to contribute exceptional code quality and drive technical excellence across the organization.
Recognized as a technical authority who influences coding standards, architectural decisions, and technology adoption across multiple teams and domains."
Senior Staff DeveloperENGINEERING CRAFTWriting CodeQuality,2,Senior Staff Developer,ENGINEERING CRAFT,Writing Code,Quality,3.6,40%,"You're recognized as the definitive technical authority across the organization, setting coding standards and architectural patterns that are adopted company-wide.
You drive the evaluation and adoption of new technologies and frameworks."
Senior Staff DeveloperENGINEERING CRAFTWriting CodeDocumentation,3,Senior Staff Developer,ENGINEERING CRAFT,Writing Code,Documentation,3.4,20%,"You establish documentation standards and practices across the organization, creating comprehensive technical documentation strategies that serve as models for multiple teams."
Senior Staff DeveloperENGINEERING CRAFTWriting CodeLanguage,4,Senior Staff Developer,ENGINEERING CRAFT,Writing Code,Language,3.8,30%,"You're considered the organization's expert in multiple programming languages and technologies, making strategic decisions about technology stack evolution and leading major technical migrations."
Senior Staff DeveloperENGINEERING CRAFTWriting CodeMentoring,5,Senior Staff Developer,ENGINEERING CRAFT,Writing Code,Mentoring,3.5,10%,"You mentor staff and senior engineers across the entire organization, developing technical leadership capabilities and establishing mentorship programs."
Senior Staff DeveloperENGINEERING CRAFTTesting,6,Senior Staff Developer,ENGINEERING CRAFT,Testing,,3.6,15%,"The ability to define and implement testing strategies at an organizational level.
Recognized as the authority on testing practices, establishing standards and frameworks that ensure quality across all products and services."
Senior Staff DeveloperENGINEERING CRAFTTestingTesting your code,7,Senior Staff Developer,ENGINEERING CRAFT,Testing,Testing your code,,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTTestingImproving coverage,8,Senior Staff Developer,ENGINEERING CRAFT,Testing,Improving coverage,,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTTestingTaking responsibility,9,Senior Staff Developer,ENGINEERING CRAFT,Testing,Taking responsibility,,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTTestingLeading testing strategy,10,Senior Staff Developer,ENGINEERING CRAFT,Testing,Leading testing strategy,3.6,50%,"You define the organization's overall testing philosophy and strategy, establishing frameworks and standards that are implemented across all teams and products."
Senior Staff DeveloperENGINEERING CRAFTTestingAdvocating for testing,11,Senior Staff Developer,ENGINEERING CRAFT,Testing,Advocating for testing,3.6,50%,"You're the go-to expert for testing strategy across the entire organization, consulted on major product launches and architectural decisions to ensure comprehensive quality assurance."
Senior Staff DeveloperENGINEERING CRAFTTechnical Understanding & Prioritisation,12,Senior Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,,3.7,15%,"The ability to understand complex technical systems at an organizational level and drive strategic technical prioritization.
Serves as a bridge between technical teams and business strategy, ensuring technical decisions align with organizational goals."
Senior Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationUnderstanding code,13,Senior Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Understanding code,3.8,50%,"You have deep expertise across the organization's entire technical ecosystem, understanding complex interdependencies and serving as the authority on system architecture and data flows."
Senior Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTechnical collaboration,14,Senior Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Technical collaboration,3.6,25%,"You facilitate technical collaboration across the entire organization, identifying and addressing knowledge gaps that span multiple departments and business units."
Senior Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationWork breakdown,15,Senior Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Work breakdown,3.5,15%,"You lead the breakdown of complex, cross-organizational initiatives, ensuring proper technical planning and coordination across multiple teams and stakeholders."
Senior Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTask prioritisation,16,Senior Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Task prioritisation,3.8,10%,"You drive technical prioritization at the organizational level, ensuring alignment between technical roadmaps and business strategy across all teams."
Senior Staff DeveloperENGINEERING CRAFTSoftware Architecture,17,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,,3.7,15%,"The ability to design and influence architectural decisions at an organizational scale.
Drives architectural vision and standards that support long-term business growth and technical scalability."
Senior Staff DeveloperENGINEERING CRAFTSoftware ArchitectureReaction to feedback,18,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,Reaction to feedback,3.5,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTSoftware ArchitectureCode,19,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,Code,3.6,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTSoftware ArchitectureDesign,20,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,Design,3.8,40%,"You lead architectural decisions that impact the entire organization, designing systems and patterns that support long-term business strategy and technical scalability."
Senior Staff DeveloperENGINEERING CRAFTSoftware ArchitectureDevelopment,21,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,Development,3.7,40%,"You collaborate with executive leadership and architecture teams to define the organization's technical vision, often leading proof-of-concept work for major strategic initiatives."
Senior Staff DeveloperENGINEERING CRAFTSoftware ArchitectureTechnical debt,22,Senior Staff Developer,ENGINEERING CRAFT,Software Architecture,Technical debt,3.6,20%,"You manage technical debt as a strategic organizational asset, making decisions about when to incur debt and when to invest in paying it down across the entire technology portfolio."
Senior Staff DeveloperENGINEERING CRAFTSecurity,23,Senior Staff Developer,ENGINEERING CRAFT,Security,,3.6,10%,"The ability to lead security initiatives and establish security culture at an organizational level.
Serves as a security champion who influences policy and practices across all teams."
Senior Staff DeveloperENGINEERING CRAFTSecurityKnowledge,24,Senior Staff Developer,ENGINEERING CRAFT,Security,Knowledge,3.6,30%,"You're recognized as the organization's security expert, establishing security standards and practices that are adopted across all teams and products."
Senior Staff DeveloperENGINEERING CRAFTSecurityUser data,25,Senior Staff Developer,ENGINEERING CRAFT,Security,User data,3.7,30%,"You define and oversee the organization's approach to user data handling, ensuring compliance and best practices across all systems and teams."
Senior Staff DeveloperENGINEERING CRAFTSecurityReporting,26,Senior Staff Developer,ENGINEERING CRAFT,Security,Reporting,3.4,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTSecurityProactivity,27,Senior Staff Developer,ENGINEERING CRAFT,Security,Proactivity,3.5,10%,N/A
Senior Staff DeveloperENGINEERING CRAFTSecurityCollaboration,28,Senior Staff Developer,ENGINEERING CRAFT,Security,Collaboration,3.4,10%,N/A
Senior Staff DeveloperENGINEERING CRAFTSecurityStrategy,29,Senior Staff Developer,ENGINEERING CRAFT,Security,Strategy,3.7,20%,"You shape the organization's security strategy, working directly with security teams and executive leadership to establish policies and practices that protect the business."
Senior Staff DeveloperENGINEERING CRAFTDebugging & Monitoring,30,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,,3.6,15%,"The ability to establish monitoring and debugging practices at an organizational level.
Creates observability strategies that provide insights across all systems and enable proactive issue resolution."
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringDebugging,31,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Debugging,3.8,30%,"You can diagnose and resolve the most complex issues across the entire organizational infrastructure, often involving multiple systems and teams."
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringTools,32,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Tools,3.4,0%,N/A
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringPhilosophy,33,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Philosophy,3.6,20%,"You establish the organization's monitoring and observability philosophy, defining standards and practices that are implemented across all teams."
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringData,34,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Data,3.5,20%,"You design and implement monitoring strategies that provide organizational-level insights, enabling data-driven decisions about system performance and reliability."
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringProfiling,35,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Profiling,3.7,20%,"You're the organization's expert in performance optimization, capable of solving complex performance challenges across any technology stack or system layer."
Senior Staff DeveloperENGINEERING CRAFTDebugging & MonitoringMentoring,36,Senior Staff Developer,ENGINEERING CRAFT,Debugging & Monitoring,Mentoring,3.4,10%,You develop the organization's debugging and monitoring capabilities by mentoring engineers and managers across all teams.
Senior Staff DeveloperSOFT SKILLS,37,Senior Staff Developer,SOFT SKILLS,,,3.3,40%,
Senior Staff DeveloperSOFT SKILLSEmpathy & Humility,38,Senior Staff Developer,SOFT SKILLS,Empathy & Humility,,3.6,40%,"Demonstrates exceptional emotional intelligence and serves as a role model for inclusive leadership across the organization.
Actively works to improve organizational culture and represents diverse perspectives in high-level decisions."
Senior Staff DeveloperSOFT SKILLSEmpathy & HumilityCredit and blame,39,Senior Staff Developer,SOFT SKILLS,Empathy & Humility,Credit and blame,3.8,30%,"You consistently use your organizational influence to ensure fair recognition and protect teams from unproductive blame, serving as a culture champion."
Senior Staff DeveloperSOFT SKILLSEmpathy & HumilityUnderstanding others,40,Senior Staff Developer,SOFT SKILLS,Empathy & Humility,Understanding others,3.6,30%,"You're sought out by leadership across the organization to help understand and improve relationships with various stakeholder groups, both internal and external."
Senior Staff DeveloperSOFT SKILLSEmpathy & HumilityMediation and facilitation,41,Senior Staff Developer,SOFT SKILLS,Empathy & Humility,Mediation and facilitation,3.5,20%,"You're called upon to facilitate complex, high-stakes discussions involving senior leadership and multiple departments, bringing calm and finding solutions to organizational conflicts."
Senior Staff DeveloperSOFT SKILLSEmpathy & HumilityMentoring,42,Senior Staff Developer,SOFT SKILLS,Empathy & Humility,Mentoring,3.5,20%,You maintain formal mentoring relationships with senior staff across the organization and contribute to the development of the company's mentoring culture.
Senior Staff DeveloperSOFT SKILLSCommunication,43,Senior Staff Developer,SOFT SKILLS,Communication,,2.8,20%,"Exceptional communication skills that influence organizational direction and culture.
Serves as a spokesperson for technical initiatives and helps shape how the organization communicates both internally and externally."
Senior Staff DeveloperSOFT SKILLSCommunicationKeeping people informed,44,Senior Staff Developer,SOFT SKILLS,Communication,Keeping people informed,3.2,50%,"You communicate complex technical and strategic initiatives to diverse audiences across the organization, including executive leadership, ensuring clear understanding and buy-in."
Senior Staff DeveloperSOFT SKILLSCommunicationLooking for feedback,45,Senior Staff Developer,SOFT SKILLS,Communication,Looking for feedback,3.4,20%,"You proactively seek feedback from key stakeholders across the organization and industry, using this input to influence organizational strategy and direction."
Senior Staff DeveloperSOFT SKILLSCommunicationDelivering bad news,46,Senior Staff Developer,SOFT SKILLS,Communication,Delivering bad news,2.8,10%,"You handle the most sensitive communications across the organization, managing expectations and maintaining stakeholder relationships during challenging situations."
Senior Staff DeveloperSOFT SKILLSCommunicationMentoring communicators,47,Senior Staff Developer,SOFT SKILLS,Communication,Mentoring communicators,2.8,10%,"You develop communication standards and practices across the organization, coaching leaders and establishing processes that improve organizational communication effectiveness."
Senior Staff DeveloperSOFT SKILLSInitiative,48,Senior Staff Developer,SOFT SKILLS,Initiative,,3.3,20%,"Demonstrates exceptional drive and creates opportunities that benefit the entire organization.
Consistently identifies and leads initiatives that drive significant business value and organizational improvement."
Senior Staff DeveloperSOFT SKILLSInitiativeCan-do attitude,49,Senior Staff Developer,SOFT SKILLS,Initiative,Can-do attitude,3.4,50%,"You consistently identify and create transformative opportunities for the organization, leading initiatives that result in significant business impact and recognition."
Senior Staff DeveloperSOFT SKILLSInitiativePro-activity in seeking help,50,Senior Staff Developer,SOFT SKILLS,Initiative,Pro-activity in seeking help,3.0,25%,"You build strategic partnerships and seek expertise both within and outside the organization, consistently bringing in knowledge and capabilities that benefit multiple teams."
Senior Staff DeveloperSOFT SKILLSInitiativeFollow through,51,Senior Staff Developer,SOFT SKILLS,Initiative,Follow through,3.2,25%,"You lead the most complex and strategic organizational initiatives to successful completion, adapting and acquiring new skills as needed to ensure success."
Senior Staff DeveloperSOFT SKILLSObjectivity & Adaptability,52,Senior Staff Developer,SOFT SKILLS,Objectivity & Adaptability,,3.6,10%,"Demonstrates exceptional judgment and adaptability in complex organizational contexts.
Makes strategic decisions that balance competing priorities and drives organizational improvement through process innovation."
Senior Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityEfficient decision-making,53,Senior Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Efficient decision-making,3.6,50%,"You lead decision-making processes on the most critical organizational initiatives, establishing frameworks and processes that improve decision quality across the company."
Senior Staff DeveloperSOFT SKILLSObjectivity & AdaptabilitySelf improvement,54,Senior Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Self improvement,3.8,20%,"You establish organizational processes for continuous improvement, championing learning and development initiatives that benefit the entire organization."
Senior Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityObjectivity,55,Senior Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Objectivity,3.6,20%,"You provide strategic counsel to organizational leadership, helping distinguish between critical issues and less important concerns, always focusing on business impact and pragmatic solutions."
Senior Staff DeveloperSOFT SKILLSObjectivity & AdaptabilityTime management,56,Senior Staff Developer,SOFT SKILLS,Objectivity & Adaptability,Time management,3.4,10%,"You optimize organizational processes and resource allocation, consistently identifying opportunities to improve efficiency and focus on the highest-impact initiatives."
Senior Staff DeveloperSOFT SKILLSBusiness Acumen,57,Senior Staff Developer,SOFT SKILLS,Business Acumen,,3.2,10%,"Deep understanding of business strategy and the ability to translate between technical and business domains.
Influences organizational strategy and ensures technical decisions support business objectives."
Senior Staff DeveloperSOFT SKILLSBusiness AcumenUnderstanding level,58,Senior Staff Developer,SOFT SKILLS,Business Acumen,Understanding level,3.2,100%,"You have comprehensive understanding of the organization's business strategy and competitive landscape, with deep knowledge of how technical decisions impact business outcomes across all domains."
Senior Staff DeveloperLEADERSHIP,59,Senior Staff Developer,LEADERSHIP,,,2.6,20%,
